ytid,path,label_n,category_n,label_ontology,label,category
-1s2ecnv7SA,-1s2ecnv7SA.opus.pt,0,0,/m/064t9,Pop music,Music genre
-6JQpIEO4x4,-6JQpIEO4x4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-7Y8bkwVyxc,-7Y8bkwVyxc.opus.pt,0,0,/m/064t9,Pop music,Music genre
-8NYEZ5AXuk,-8NYEZ5AXuk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Aqt3e9aWtQ,-Aqt3e9aWtQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
-B6qqoTAADw,-B6qqoTAADw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-BWAJyKFvD4,-BWAJyKFvD4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-E2aoMkUNPk,-E2aoMkUNPk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ECnVra2qjI,-ECnVra2qjI.opus.pt,0,0,/m/064t9,Pop music,Music genre
-FkuQ2miN-4,-FkuQ2miN-4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-HD1BVuIncY,-HD1BVuIncY.opus.pt,0,0,/m/064t9,Pop music,Music genre
-KO9pQiU1_I,-KO9pQiU1_I.opus.pt,0,0,/m/064t9,Pop music,Music genre
-LiiV9py0Rg,-LiiV9py0Rg.opus.pt,0,0,/m/064t9,Pop music,Music genre
-NN7iOqzbCk,-NN7iOqzbCk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-RTIZIPI01A,-RTIZIPI01A.opus.pt,0,0,/m/064t9,Pop music,Music genre
-RxnXj-5KXM,-RxnXj-5KXM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ShiLnubDqw,-ShiLnubDqw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-T-TgULgAVs,-T-TgULgAVs.opus.pt,0,0,/m/064t9,Pop music,Music genre
-TTpc9ykb_g,-TTpc9ykb_g.opus.pt,0,0,/m/064t9,Pop music,Music genre
-UyuqI71P0w,-UyuqI71P0w.opus.pt,0,0,/m/064t9,Pop music,Music genre
-WoNQCcuC9A,-WoNQCcuC9A.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Z3ANNkGfRU,-Z3ANNkGfRU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ZajBGe-RkE,-ZajBGe-RkE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-_UQq7BCpRk,-_UQq7BCpRk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-abmkVbc5og,-abmkVbc5og.opus.pt,0,0,/m/064t9,Pop music,Music genre
-bTnc0uciQ0,-bTnc0uciQ0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-dd7dbDgf1s,-dd7dbDgf1s.opus.pt,0,0,/m/064t9,Pop music,Music genre
-e0OuppN2aU,-e0OuppN2aU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-fYDcds81Cw,-fYDcds81Cw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-lsjdAaMOEk,-lsjdAaMOEk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-nfgn7SOTS0,-nfgn7SOTS0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-obAWE-98aQ,-obAWE-98aQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
-pR3SW6r3jM,-pR3SW6r3jM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-qPLUdCEcS8,-qPLUdCEcS8.opus.pt,0,0,/m/064t9,Pop music,Music genre
-rk9lxik6CM,-rk9lxik6CM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-s3Y4J9ZTms,-s3Y4J9ZTms.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ut8kkOFr1s,-ut8kkOFr1s.opus.pt,0,0,/m/064t9,Pop music,Music genre
-wyc0oJkh10,-wyc0oJkh10.opus.pt,0,0,/m/064t9,Pop music,Music genre
-xsb_fr5OHo,-xsb_fr5OHo.opus.pt,0,0,/m/064t9,Pop music,Music genre
-xuqP0e7n4k,-xuqP0e7n4k.opus.pt,0,0,/m/064t9,Pop music,Music genre
-yA_U9aV5Ls,-yA_U9aV5Ls.opus.pt,0,0,/m/064t9,Pop music,Music genre
0--34mWvHR0,0--34mWvHR0.opus.pt,0,0,/m/064t9,Pop music,Music genre
02e5GBhQV4o,02e5GBhQV4o.opus.pt,0,0,/m/064t9,Pop music,Music genre
02ivfa2n-nQ,02ivfa2n-nQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
04BPBqp1CAw,04BPBqp1CAw.opus.pt,0,0,/m/064t9,Pop music,Music genre
05X7q0SuSRA,05X7q0SuSRA.opus.pt,0,0,/m/064t9,Pop music,Music genre
05zB_ycaYck,05zB_ycaYck.opus.pt,0,0,/m/064t9,Pop music,Music genre
0A_FvRdJ9ic,0A_FvRdJ9ic.opus.pt,0,0,/m/064t9,Pop music,Music genre
0BA9E67NONk,0BA9E67NONk.opus.pt,0,0,/m/064t9,Pop music,Music genre
0CTyyGlVhFs,0CTyyGlVhFs.opus.pt,0,0,/m/064t9,Pop music,Music genre
0E1Ms50Wj2o,0E1Ms50Wj2o.opus.pt,0,0,/m/064t9,Pop music,Music genre
0EX5tQdCkQ0,0EX5tQdCkQ0.opus.pt,0,0,/m/064t9,Pop music,Music genre
0FjDQrcVp5k,0FjDQrcVp5k.opus.pt,0,0,/m/064t9,Pop music,Music genre
0HAf01C_vsI,0HAf01C_vsI.opus.pt,0,0,/m/064t9,Pop music,Music genre
0ItITGT6pEc,0ItITGT6pEc.opus.pt,0,0,/m/064t9,Pop music,Music genre
0KwaGpwNCvw,0KwaGpwNCvw.opus.pt,0,0,/m/064t9,Pop music,Music genre
0LxZs29DvQE,0LxZs29DvQE.opus.pt,0,0,/m/064t9,Pop music,Music genre
0TqMnxDjT7M,0TqMnxDjT7M.opus.pt,0,0,/m/064t9,Pop music,Music genre
0V9C_p-LK9A,0V9C_p-LK9A.opus.pt,0,0,/m/064t9,Pop music,Music genre
0Y5HGmG7JQA,0Y5HGmG7JQA.opus.pt,0,0,/m/064t9,Pop music,Music genre
0Yyeauywxco,0Yyeauywxco.opus.pt,0,0,/m/064t9,Pop music,Music genre
0_ZVjGjI0Y8,0_ZVjGjI0Y8.opus.pt,0,0,/m/064t9,Pop music,Music genre
0cOqt3pywco,0cOqt3pywco.opus.pt,0,0,/m/064t9,Pop music,Music genre
0f5kkLrhabE,0f5kkLrhabE.opus.pt,0,0,/m/064t9,Pop music,Music genre
0iyeK3JwPbQ,0iyeK3JwPbQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
0j70c9ha3NI,0j70c9ha3NI.opus.pt,0,0,/m/064t9,Pop music,Music genre
0jfsFqA8FEI,0jfsFqA8FEI.opus.pt,0,0,/m/064t9,Pop music,Music genre
0k2aleQq77M,0k2aleQq77M.opus.pt,0,0,/m/064t9,Pop music,Music genre
0pdRIrjbiPU,0pdRIrjbiPU.opus.pt,0,0,/m/064t9,Pop music,Music genre
0tQ4gvw9KJw,0tQ4gvw9KJw.opus.pt,0,0,/m/064t9,Pop music,Music genre
0vH4IPwck2E,0vH4IPwck2E.opus.pt,0,0,/m/064t9,Pop music,Music genre
0x3XviIbWbA,0x3XviIbWbA.opus.pt,0,0,/m/064t9,Pop music,Music genre
0xiia9r1o_E,0xiia9r1o_E.opus.pt,0,0,/m/064t9,Pop music,Music genre
10ICLPP6Rl0,10ICLPP6Rl0.opus.pt,0,0,/m/064t9,Pop music,Music genre
10IxU6Dbkc4,10IxU6Dbkc4.opus.pt,0,0,/m/064t9,Pop music,Music genre
