ytid,path,label_n,category_n,label_ontology,label,category
-19alzpMU-c,-19alzpMU-c.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-1u8sg-CTZ4,-1u8sg-CTZ4.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-1vp_FPfUJ0,-1vp_FPfUJ0.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-3cw1GRJlWQ,-3cw1GRJlWQ.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-6kBC_imWw8,-6kBC_imWw8.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-7eWvUjuOsQ,-7eWvUjuOsQ.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-86xbR-_1E8,-86xbR-_1E8.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-AT7we8Ohfg,-AT7we8Ohfg.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-H6sF0mGN9Q,-H6sF0mGN9Q.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-K50q3TDY_g,-K50q3TDY_g.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-N3VUmh1fQk,-N3VUmh1fQk.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-NitYu59aJg,-NitYu59aJg.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-OCctp-Sszc,-OCctp-Sszc.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-OKk5UZwX50,-OKk5UZwX50.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-OSI-8gynxg,-OSI-8gynxg.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-OeLIXhiAOA,-OeLIXhiAOA.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-PUhvfVcly0,-PUhvfVcly0.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-S29YP6wnbQ,-S29YP6wnbQ.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-SvASOU44Es,-SvASOU44Es.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-UEHwj0Jufc,-UEHwj0Jufc.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-WSLXgcgxT4,-WSLXgcgxT4.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-X0E-fpscbY,-X0E-fpscbY.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-X1yvA_DUfc,-X1yvA_DUfc.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-XCG3bS3FPc,-XCG3bS3FPc.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-_MoLNnf1Fc,-_MoLNnf1Fc.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-aSbX1i3OCQ,-aSbX1i3OCQ.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-aufDOj3UD8,-aufDOj3UD8.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-cGnLZn1ITw,-cGnLZn1ITw.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-cixjMWpPU0,-cixjMWpPU0.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-d2rlpMQ9nk,-d2rlpMQ9nk.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-d6vyabgrds,-d6vyabgrds.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-dQqsutBP-4,-dQqsutBP-4.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-eUwUPTeauk,-eUwUPTeauk.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
-fwNjou1Wt4,-fwNjou1Wt4.opus.pt,0,2,/m/02sgy,Electric guitar,Musical instrument
