ytid,path,label_n,category_n,label_ontology,label,category
--WKv2SmvO8,--WKv2SmvO8.opus.pt,0,3,/m/025td0t,Background music,Music role
-0Vz4nf296c,-0Vz4nf296c.opus.pt,0,3,/m/025td0t,Background music,Music role
-6wdhJLBDsI,-6wdhJLBDsI.opus.pt,0,3,/m/025td0t,Background music,Music role
-7ViIOuCUVA,-7ViIOuCUVA.opus.pt,0,3,/m/025td0t,Background music,Music role
-BW9gUm-KaA,-BW9gUm-KaA.opus.pt,0,3,/m/025td0t,Background music,Music role
-EEurBkVg-s,-EEurBkVg-s.opus.pt,0,3,/m/025td0t,Background music,Music role
-FFBqC8voeI,-FFBqC8voeI.opus.pt,0,3,/m/025td0t,Background music,Music role
-GYwAv2geeE,-GYwAv2geeE.opus.pt,0,3,/m/025td0t,Background music,Music role
-KLOHGpb6PY,-KLOHGpb6PY.opus.pt,0,3,/m/025td0t,Background music,Music role
-Mz4xpmHrrQ,-Mz4xpmHrrQ.opus.pt,0,3,/m/025td0t,Background music,Music role
-RVkR14wr_o,-RVkR14wr_o.opus.pt,0,3,/m/025td0t,Background music,Music role
-SMatSXa9Y0,-SMatSXa9Y0.opus.pt,0,3,/m/025td0t,Background music,Music role
-YbgJixoAvE,-YbgJixoAvE.opus.pt,0,3,/m/025td0t,Background music,Music role
-a3aXgodXiY,-a3aXgodXiY.opus.pt,0,3,/m/025td0t,Background music,Music role
-bvuqrJ2m9o,-bvuqrJ2m9o.opus.pt,0,3,/m/025td0t,Background music,Music role
-h-Zp1NXYnc,-h-Zp1NXYnc.opus.pt,0,3,/m/025td0t,Background music,Music role
-rZ28KjecoQ,-rZ28KjecoQ.opus.pt,0,3,/m/025td0t,Background music,Music role
-wWtauojXkE,-wWtauojXkE.opus.pt,0,3,/m/025td0t,Background music,Music role
-wyc0oJkh10,-wyc0oJkh10.opus.pt,0,3,/m/025td0t,Background music,Music role
0E1Ms50Wj2o,0E1Ms50Wj2o.opus.pt,0,3,/m/025td0t,Background music,Music role
0F2Am2aZlaY,0F2Am2aZlaY.opus.pt,0,3,/m/025td0t,Background music,Music role
0JdsAzg0Mt4,0JdsAzg0Mt4.opus.pt,0,3,/m/025td0t,Background music,Music role
0UH8aB5BV70,0UH8aB5BV70.opus.pt,0,3,/m/025td0t,Background music,Music role
0Y5HGmG7JQA,0Y5HGmG7JQA.opus.pt,0,3,/m/025td0t,Background music,Music role
0YcIDbW-lyo,0YcIDbW-lyo.opus.pt,0,3,/m/025td0t,Background music,Music role
0bGHuOUsUCk,0bGHuOUsUCk.opus.pt,0,3,/m/025td0t,Background music,Music role
0bLibv_k2XU,0bLibv_k2XU.opus.pt,0,3,/m/025td0t,Background music,Music role
0cqUUsCxREk,0cqUUsCxREk.opus.pt,0,3,/m/025td0t,Background music,Music role
0d7bs4MVGDA,0d7bs4MVGDA.opus.pt,0,3,/m/025td0t,Background music,Music role
0pU0hQzVxFQ,0pU0hQzVxFQ.opus.pt,0,3,/m/025td0t,Background music,Music role
0qhUNBumyAk,0qhUNBumyAk.opus.pt,0,3,/m/025td0t,Background music,Music role
0tKPBZtHyq4,0tKPBZtHyq4.opus.pt,0,3,/m/025td0t,Background music,Music role
0y5CZixUG5Y,0y5CZixUG5Y.opus.pt,0,3,/m/025td0t,Background music,Music role
1EIPJanOl-w,1EIPJanOl-w.opus.pt,0,3,/m/025td0t,Background music,Music role
1Ih173HDiYg,1Ih173HDiYg.opus.pt,0,3,/m/025td0t,Background music,Music role
