ytid,path,label_n,category_n,label_ontology,label,category
-0Rr5IvwyEY,-0Rr5IvwyEY.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-1Z0N9uJX7Q,-1Z0N9uJX7Q.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-1ebnb51apc,-1ebnb51apc.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-1s2ecnv7SA,-1s2ecnv7SA.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-2l6x0AfNEo,-2l6x0AfNEo.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-34jdykhMa0,-34jdykhMa0.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-4DLJA5ShGI,-4DLJA5ShGI.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-4PivAAdc3M,-4PivAAdc3M.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-5Wkc3w1L9s,-5Wkc3w1L9s.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-7Ga9S1jAFA,-7Ga9S1jAFA.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-7eJFNAUuHw,-7eJFNAUuHw.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-AW0jbh8Poc,-AW0jbh8Poc.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-B_SktRe3VE,-B_SktRe3VE.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-EAOKDazXGQ,-EAOKDazXGQ.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-FwXeBqDc9Q,-FwXeBqDc9Q.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-GTAvy5Pu4k,-GTAvy5Pu4k.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-HKaeYUlJ2w,-HKaeYUlJ2w.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-IiovtR2tC4,-IiovtR2tC4.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-KO9pQiU1_I,-KO9pQiU1_I.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-KapkUxNqpo,-KapkUxNqpo.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-L5wKEW0y1A,-L5wKEW0y1A.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-MWdadfxLW4,-MWdadfxLW4.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-NZ8R0xsZ8E,-NZ8R0xsZ8E.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-OC82H_fNWI,-OC82H_fNWI.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-Ow1e95L4WY,-Ow1e95L4WY.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-QtL0saYKXQ,-QtL0saYKXQ.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-RVkR14wr_o,-RVkR14wr_o.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-ShiLnubDqw,-ShiLnubDqw.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-Tqu_BL8Prk,-Tqu_BL8Prk.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-Tvf34bvfvE,-Tvf34bvfvE.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-X0FGMUNb44,-X0FGMUNb44.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-Zk-wQ2z3CE,-Zk-wQ2z3CE.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-_AVZhO0EBg,-_AVZhO0EBg.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-_CY9gMKbHs,-_CY9gMKbHs.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-_Q48CWMxvM,-_Q48CWMxvM.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-a3aXgodXiY,-a3aXgodXiY.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-abmkVbc5og,-abmkVbc5og.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-dcYVLZm2Ng,-dcYVLZm2Ng.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-di_dphedeY,-di_dphedeY.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-fCTQY4fZh4,-fCTQY4fZh4.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-h-Zp1NXYnc,-h-Zp1NXYnc.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-hLB9m90XKs,-hLB9m90XKs.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-hRhgb9uVJY,-hRhgb9uVJY.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-isfWGG2T2U,-isfWGG2T2U.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-mJNeYwKSJU,-mJNeYwKSJU.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-mli5IrGJgo,-mli5IrGJgo.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-q1CHL-9uNQ,-q1CHL-9uNQ.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-qsp9vUOAeU,-qsp9vUOAeU.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-rZ28KjecoQ,-rZ28KjecoQ.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-s3Y4J9ZTms,-s3Y4J9ZTms.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-t854009HZ4,-t854009HZ4.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-tE6lxBn5Zc,-tE6lxBn5Zc.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-xMnmAwuupg,-xMnmAwuupg.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-x_QZDq0fok,-x_QZDq0fok.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-xhAkzYGv98,-xhAkzYGv98.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-y1YOkUHgCU,-y1YOkUHgCU.opus.pt,0,1,/t/dd00031,Happy music,Music mood
-yoHGgreeic,-yoHGgreeic.opus.pt,0,1,/t/dd00031,Happy music,Music mood
00Kh4hi8H3E,00Kh4hi8H3E.opus.pt,0,1,/t/dd00031,Happy music,Music mood
00rFNeH5nlU,00rFNeH5nlU.opus.pt,0,1,/t/dd00031,Happy music,Music mood
01TT15BNNZI,01TT15BNNZI.opus.pt,0,1,/t/dd00031,Happy music,Music mood
01moRUFQ9lc,01moRUFQ9lc.opus.pt,0,1,/t/dd00031,Happy music,Music mood
02Nz6LlHwV8,02Nz6LlHwV8.opus.pt,0,1,/t/dd00031,Happy music,Music mood
04DOMfrOM28,04DOMfrOM28.opus.pt,0,1,/t/dd00031,Happy music,Music mood
05r1Bm9tfg0,05r1Bm9tfg0.opus.pt,0,1,/t/dd00031,Happy music,Music mood
05sUNPpj5ps,05sUNPpj5ps.opus.pt,0,1,/t/dd00031,Happy music,Music mood
06ekfOzPu_s,06ekfOzPu_s.opus.pt,0,1,/t/dd00031,Happy music,Music mood
07HYqx9CFvo,07HYqx9CFvo.opus.pt,0,1,/t/dd00031,Happy music,Music mood
08W-Bdnahlc,08W-Bdnahlc.opus.pt,0,1,/t/dd00031,Happy music,Music mood
096aIn8Ct4M,096aIn8Ct4M.opus.pt,0,1,/t/dd00031,Happy music,Music mood
09sELHcd7uI,09sELHcd7uI.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0DfJ96OXP2k,0DfJ96OXP2k.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0FC49Vn7DTo,0FC49Vn7DTo.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0GgLPofU3Ic,0GgLPofU3Ic.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0J4gAwC6Uxo,0J4gAwC6Uxo.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0JoY0RH7KMY,0JoY0RH7KMY.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0NyTgMNTzbs,0NyTgMNTzbs.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0S4GcKH5S5o,0S4GcKH5S5o.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0TGeLO-gajQ,0TGeLO-gajQ.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0X17eSTRvds,0X17eSTRvds.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0YtZyiVVpL8,0YtZyiVVpL8.opus.pt,0,1,/t/dd00031,Happy music,Music mood
0aiuQvHT9Ig,0aiuQvHT9Ig.opus.pt,0,1,/t/dd00031,Happy music,Music mood
