ytid,path,label_n,category_n,label_ontology,label,category
--GXulx19TI,--GXulx19TI.opus.pt,0,0,/m/064t9,Pop music,Music genre
--zznQC7TD4,--zznQC7TD4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-0JwMnnZPw0,-0JwMnnZPw0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-0ilrSI-pIc,-0ilrSI-pIc.opus.pt,0,0,/m/064t9,Pop music,Music genre
-1Q72rwQ5MM,-1Q72rwQ5MM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-1QjgG7-ulU,-1QjgG7-ulU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-1frRwrP7Jw,-1frRwrP7Jw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-1s2ecnv7SA,-1s2ecnv7SA.opus.pt,0,0,/m/064t9,Pop music,Music genre
-2o4OwbKA28,-2o4OwbKA28.opus.pt,0,0,/m/064t9,Pop music,Music genre
-3FSFxsVhJA,-3FSFxsVhJA.opus.pt,0,0,/m/064t9,Pop music,Music genre
-3MMej_yVcE,-3MMej_yVcE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-3MjCgmfghk,-3MjCgmfghk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-3RHu1ceP2M,-3RHu1ceP2M.opus.pt,0,0,/m/064t9,Pop music,Music genre
-3qAwWw8P50,-3qAwWw8P50.opus.pt,0,0,/m/064t9,Pop music,Music genre
-4xP-ZF1u_I,-4xP-ZF1u_I.opus.pt,0,0,/m/064t9,Pop music,Music genre
-5HdiCWqsdI,-5HdiCWqsdI.opus.pt,0,0,/m/064t9,Pop music,Music genre
-5LXsxnoL0g,-5LXsxnoL0g.opus.pt,0,0,/m/064t9,Pop music,Music genre
-5zbl_UwZ0c,-5zbl_UwZ0c.opus.pt,0,0,/m/064t9,Pop music,Music genre
-6JQpIEO4x4,-6JQpIEO4x4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-6Lwr8_zeiM,-6Lwr8_zeiM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-7UJFopjxxc,-7UJFopjxxc.opus.pt,0,0,/m/064t9,Pop music,Music genre
-7Y8bkwVyxc,-7Y8bkwVyxc.opus.pt,0,0,/m/064t9,Pop music,Music genre
-7dRzvjW7c4,-7dRzvjW7c4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-7uUrlhxRjk,-7uUrlhxRjk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-8AVRtVQh0Q,-8AVRtVQh0Q.opus.pt,0,0,/m/064t9,Pop music,Music genre
-8NYEZ5AXuk,-8NYEZ5AXuk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-8xNUwDjOgA,-8xNUwDjOgA.opus.pt,0,0,/m/064t9,Pop music,Music genre
-91sZXtTFCY,-91sZXtTFCY.opus.pt,0,0,/m/064t9,Pop music,Music genre
-A94Rv7YeOo,-A94Rv7YeOo.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Aahz94dzHE,-Aahz94dzHE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Aqt3e9aWtQ,-Aqt3e9aWtQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
-B6qqoTAADw,-B6qqoTAADw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-BWAJyKFvD4,-BWAJyKFvD4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-CTeEl23nII,-CTeEl23nII.opus.pt,0,0,/m/064t9,Pop music,Music genre
-DLvRyjYk68,-DLvRyjYk68.opus.pt,0,0,/m/064t9,Pop music,Music genre
-DiX60ugYNU,-DiX60ugYNU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-E2aoMkUNPk,-E2aoMkUNPk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ECnVra2qjI,-ECnVra2qjI.opus.pt,0,0,/m/064t9,Pop music,Music genre
-EHkvv4PONk,-EHkvv4PONk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ERfoQNPbto,-ERfoQNPbto.opus.pt,0,0,/m/064t9,Pop music,Music genre
-FOzr1BG4Ko,-FOzr1BG4Ko.opus.pt,0,0,/m/064t9,Pop music,Music genre
-FW9Q2LQ_Qw,-FW9Q2LQ_Qw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-FY7bRIs1nk,-FY7bRIs1nk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-FbdlFNAeRk,-FbdlFNAeRk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-FkuQ2miN-4,-FkuQ2miN-4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-G4vSBdh4HE,-G4vSBdh4HE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-GBXr6hvgfw,-GBXr6hvgfw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-GGaS1Zm_p0,-GGaS1Zm_p0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-GltWCvb2mU,-GltWCvb2mU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-GxQl61CkNw,-GxQl61CkNw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-H2Z1O2iQBo,-H2Z1O2iQBo.opus.pt,0,0,/m/064t9,Pop music,Music genre
-HD1BVuIncY,-HD1BVuIncY.opus.pt,0,0,/m/064t9,Pop music,Music genre
-HQ4FbirXNU,-HQ4FbirXNU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-JHOW9ExeT8,-JHOW9ExeT8.opus.pt,0,0,/m/064t9,Pop music,Music genre
-K38ZB0eWgQ,-K38ZB0eWgQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
-KO9pQiU1_I,-KO9pQiU1_I.opus.pt,0,0,/m/064t9,Pop music,Music genre
-LBdsxhIEvo,-LBdsxhIEvo.opus.pt,0,0,/m/064t9,Pop music,Music genre
-LiiV9py0Rg,-LiiV9py0Rg.opus.pt,0,0,/m/064t9,Pop music,Music genre
-MQ01E2BfUg,-MQ01E2BfUg.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ND_ke-F-3Y,-ND_ke-F-3Y.opus.pt,0,0,/m/064t9,Pop music,Music genre
-NN7iOqzbCk,-NN7iOqzbCk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-NUczwEy7x0,-NUczwEy7x0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-O6DR92vEMA,-O6DR92vEMA.opus.pt,0,0,/m/064t9,Pop music,Music genre
-P8x0ACPQGk,-P8x0ACPQGk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-PItZIUlZn4,-PItZIUlZn4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Q2n7TzOwLk,-Q2n7TzOwLk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-R0g4-t3_eU,-R0g4-t3_eU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-RLJUAYlw5c,-RLJUAYlw5c.opus.pt,0,0,/m/064t9,Pop music,Music genre
-RTIZIPI01A,-RTIZIPI01A.opus.pt,0,0,/m/064t9,Pop music,Music genre
-RxnXj-5KXM,-RxnXj-5KXM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-S12Dehocnk,-S12Dehocnk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ShiLnubDqw,-ShiLnubDqw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-T-TgULgAVs,-T-TgULgAVs.opus.pt,0,0,/m/064t9,Pop music,Music genre
-TDZIcfEEmw,-TDZIcfEEmw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-TPy8eOOgrE,-TPy8eOOgrE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-TTpc9ykb_g,-TTpc9ykb_g.opus.pt,0,0,/m/064t9,Pop music,Music genre
-TjLX31d-SQ,-TjLX31d-SQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Tjb_Tz2eHQ,-Tjb_Tz2eHQ.opus.pt,0,0,/m/064t9,Pop music,Music genre
-UyuqI71P0w,-UyuqI71P0w.opus.pt,0,0,/m/064t9,Pop music,Music genre
-VAPyQggMOU,-VAPyQggMOU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-VArdFuY0-k,-VArdFuY0-k.opus.pt,0,0,/m/064t9,Pop music,Music genre
-VawyWkMUUY,-VawyWkMUUY.opus.pt,0,0,/m/064t9,Pop music,Music genre
-WTAYy7oQZ0,-WTAYy7oQZ0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-WoNQCcuC9A,-WoNQCcuC9A.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Y-hOLXLlB4,-Y-hOLXLlB4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-YBr8tHexa0,-YBr8tHexa0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-Z3ANNkGfRU,-Z3ANNkGfRU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ZLdkHhnViw,-ZLdkHhnViw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ZLlQ18xoJs,-ZLlQ18xoJs.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ZajBGe-RkE,-ZajBGe-RkE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-_GbzHjT5lA,-_GbzHjT5lA.opus.pt,0,0,/m/064t9,Pop music,Music genre
-_MKZTib23k,-_MKZTib23k.opus.pt,0,0,/m/064t9,Pop music,Music genre
-_Q2PF81_ak,-_Q2PF81_ak.opus.pt,0,0,/m/064t9,Pop music,Music genre
-_UQq7BCpRk,-_UQq7BCpRk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-_kbG7sbHKo,-_kbG7sbHKo.opus.pt,0,0,/m/064t9,Pop music,Music genre
-a4Huy5TtJc,-a4Huy5TtJc.opus.pt,0,0,/m/064t9,Pop music,Music genre
-abmkVbc5og,-abmkVbc5og.opus.pt,0,0,/m/064t9,Pop music,Music genre
-aiU7mWvDao,-aiU7mWvDao.opus.pt,0,0,/m/064t9,Pop music,Music genre
-at4ESeFNx0,-at4ESeFNx0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-bTnc0uciQ0,-bTnc0uciQ0.opus.pt,0,0,/m/064t9,Pop music,Music genre
-c-TZML82SY,-c-TZML82SY.opus.pt,0,0,/m/064t9,Pop music,Music genre
-d5LJbMqCaE,-d5LJbMqCaE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-dd7dbDgf1s,-dd7dbDgf1s.opus.pt,0,0,/m/064t9,Pop music,Music genre
-dj2ZrxmDyg,-dj2ZrxmDyg.opus.pt,0,0,/m/064t9,Pop music,Music genre
-e0OuppN2aU,-e0OuppN2aU.opus.pt,0,0,/m/064t9,Pop music,Music genre
-eBDVSz6h-4,-eBDVSz6h-4.opus.pt,0,0,/m/064t9,Pop music,Music genre
-eEpKZb-RLI,-eEpKZb-RLI.opus.pt,0,0,/m/064t9,Pop music,Music genre
-fYDcds81Cw,-fYDcds81Cw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-fg5_TSfGXc,-fg5_TSfGXc.opus.pt,0,0,/m/064t9,Pop music,Music genre
-fpxGIOwW48,-fpxGIOwW48.opus.pt,0,0,/m/064t9,Pop music,Music genre
-gNeoWhdUgM,-gNeoWhdUgM.opus.pt,0,0,/m/064t9,Pop music,Music genre
-geksAeVKjI,-geksAeVKjI.opus.pt,0,0,/m/064t9,Pop music,Music genre
-h_tBHCvm_o,-h_tBHCvm_o.opus.pt,0,0,/m/064t9,Pop music,Music genre
-hwXb_ueJ0Y,-hwXb_ueJ0Y.opus.pt,0,0,/m/064t9,Pop music,Music genre
-i9n6bieR-Y,-i9n6bieR-Y.opus.pt,0,0,/m/064t9,Pop music,Music genre
-iJpU8fNpNE,-iJpU8fNpNE.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ieg3HbYvI8,-ieg3HbYvI8.opus.pt,0,0,/m/064t9,Pop music,Music genre
-ifK6YdK32c,-ifK6YdK32c.opus.pt,0,0,/m/064t9,Pop music,Music genre
-jWrGXyn8rk,-jWrGXyn8rk.opus.pt,0,0,/m/064t9,Pop music,Music genre
-jhKmW29yOw,-jhKmW29yOw.opus.pt,0,0,/m/064t9,Pop music,Music genre
-kEZ2DlSeiI,-kEZ2DlSeiI.opus.pt,0,0,/m/064t9,Pop music,Music genre
-l2jBF1nAVc,-l2jBF1nAVc.opus.pt,0,0,/m/064t9,Pop music,Music genre
