ytid,path,label_n,category_n,label_ontology,label,category
--9ckNk0Gyw,--9ckNk0Gyw.opus.pt,0,3,/m/025td0t,Background music,Music role
--USeebCaWE,--USeebCaWE.opus.pt,0,3,/m/025td0t,Background music,Music role
--WKv2SmvO8,--WKv2SmvO8.opus.pt,0,3,/m/025td0t,Background music,Music role
--bSurT-1Ak,--bSurT-1Ak.opus.pt,0,3,/m/025td0t,Background music,Music role
--n_p53msdg,--n_p53msdg.opus.pt,0,3,/m/025td0t,Background music,Music role
-0Vz4nf296c,-0Vz4nf296c.opus.pt,0,3,/m/025td0t,Background music,Music role
-11SYhD7EqA,-11SYhD7EqA.opus.pt,0,3,/m/025td0t,Background music,Music role
-1l1sEn5dlE,-1l1sEn5dlE.opus.pt,0,3,/m/025td0t,Background music,Music role
-2DTbD5UF-w,-2DTbD5UF-w.opus.pt,0,3,/m/025td0t,Background music,Music role
-2svXiH1PaA,-2svXiH1PaA.opus.pt,0,3,/m/025td0t,Background music,Music role
-36SR4m_D2E,-36SR4m_D2E.opus.pt,0,3,/m/025td0t,Background music,Music role
-3AuGYTl96g,-3AuGYTl96g.opus.pt,0,3,/m/025td0t,Background music,Music role
-3VGMMSMYJA,-3VGMMSMYJA.opus.pt,0,3,/m/025td0t,Background music,Music role
-3ziCJASK_A,-3ziCJASK_A.opus.pt,0,3,/m/025td0t,Background music,Music role
-4-XF8ERyQ0,-4-XF8ERyQ0.opus.pt,0,3,/m/025td0t,Background music,Music role
-4Cg-lzhz5I,-4Cg-lzhz5I.opus.pt,0,3,/m/025td0t,Background music,Music role
-4Lv6b6QaYI,-4Lv6b6QaYI.opus.pt,0,3,/m/025td0t,Background music,Music role
-4wU1ehIKCw,-4wU1ehIKCw.opus.pt,0,3,/m/025td0t,Background music,Music role
-5UWMnLZ-sI,-5UWMnLZ-sI.opus.pt,0,3,/m/025td0t,Background music,Music role
-5txJXg3IxQ,-5txJXg3IxQ.opus.pt,0,3,/m/025td0t,Background music,Music role
-5vrWh3Mhkk,-5vrWh3Mhkk.opus.pt,0,3,/m/025td0t,Background music,Music role
-63qaWoy1R0,-63qaWoy1R0.opus.pt,0,3,/m/025td0t,Background music,Music role
-6wdhJLBDsI,-6wdhJLBDsI.opus.pt,0,3,/m/025td0t,Background music,Music role
-7ViIOuCUVA,-7ViIOuCUVA.opus.pt,0,3,/m/025td0t,Background music,Music role
-8BOkodfHWo,-8BOkodfHWo.opus.pt,0,3,/m/025td0t,Background music,Music role
-8SwbjW60Sw,-8SwbjW60Sw.opus.pt,0,3,/m/025td0t,Background music,Music role
